RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOT DIST (FT),TOT EAGLES PUTTS MADE.,LONGEST MADE (FT),SHORTEST MADE (FT)
1,0,52215,Robert MacIntyre,58' 4",58.333,1,58,58' 4"
2,0,52370,Mason Andersen,42' 3",42.250,1,42,42' 3"
3,0,59143,Mac Meissner,40' 9",40.750,1,41,40' 9"
4,0,54576,Patrick Fishburn,39' 9",119.333,3,106,4' 8"
5,0,39335,Kevin Roy,36' 8",183.417,5,73,4' 4"
6,0,39975,Michael Kim,36' 1",72.167,2,66,6' 7"
7,0,66743,Luke Clanton,35' 10",107.500,3,41,31' 11"
8,0,31323,Gary Woodland,35' 1",70.167,2,35,34' 10"
9,0,37378,Min Woo Lee,34' 4",34.333,1,34,34' 4"
10,0,36801,Mark Hubbard,33' 8",67.333,2,48,19' 9"
11,0,47917,Takumi Kanaya,33' 0",98.917,3,56,17' 0"
12,0,32070,Rafael Campos,32' 10",65.583,2,53,13' 0"
13,0,55182,Tom Kim,32' 7",162.833,5,70,6' 8"
13,0,52144,Braden Thornberry,32' 7",97.833,3,49,15' 9"
15,0,57975,Harry Hall,31' 10",190.917,6,67,8' 1"
16,0,48887,Matt Wallace,31' 5",94.167,3,74,4' 3"
17,0,30926,Chris Kirk,31' 2",155.750,5,63,3' 3"
18,0,39327,Ben Silverman,31' 0",61.917,2,52,10' 1"
19,0,55708,Hayden Buckley,30' 7",30.583,1,31,30' 7"
20,0,57366,Cameron Young,29' 4",117.333,4,67,2' 5"
21,0,33413,Ben Martin,28' 8",86.083,3,42,5' 10"
22,0,34255,Joseph Bramlett,28' 0",83.917,3,41,6' 0"
22,0,32102,Rickie Fowler,28' 0",55.917,2,31,24' 8"
24,0,47420,Jake Knapp,27' 11",223.167,8,57,1' 11"
25,0,51634,Sahith Theegala,27' 9",55.500,2,30,25' 4"
26,0,36884,Ben Kohles,27' 4",82.000,3,38,13' 9"
27,0,51997,Andrew Novak,26' 11",161.417,6,74,1' 0"
28,0,37275,Sam Ryder,26' 8",80.083,3,32,21' 5"
28,0,24502,Adam Scott,26' 8",53.333,2,28,25' 8"
30,0,39971,Sungjae Im,26' 7",186.000,7,60,4' 9"
31,0,49771,J.T. Poston,26' 4",52.667,2,45,7' 9"
32,0,40026,Daniel Berger,25' 3",50.500,2,42,8' 8"
32,0,50582,Jeremy Paul,25' 3",100.917,4,44,13' 0"
32,0,63343,Aldrich Potgieter,25' 3",50.500,2,40,10' 7"
35,0,45522,Christiaan Bezuidenhout,24' 10",124.083,5,53,2' 7"
36,0,51287,Ryo Hisatsune,24' 6",98.083,4,63,3' 8"
36,0,52666,Sami Valimaki,24' 6",171.250,7,81,5' 6"
38,0,27644,Brian Harman,24' 4",48.667,2,26,23' 0"
39,0,57123,Steven Fisk,24' 0",216.167,9,51,8' 7"
40,0,33968,Thorbjørn Olesen,23' 7",212.167,9,50,9"
40,0,48081,Xander Schauffele,23' 7",94.333,4,41,6' 3"
42,0,60882,Thomas Rosenmueller,23' 6",70.500,3,46,6' 11"
43,0,33141,Keegan Bradley,23' 4",116.750,5,61,5' 4"
43,0,40115,Adam Svensson,23' 4",186.917,8,49,5' 5"
45,0,35461,Beau Hossler,23' 2",92.667,4,39,5' 5"
46,0,34098,Russell Henley,22' 6",67.583,3,30,13' 7"
46,0,48153,Matthieu Pavon,22' 6",179.833,8,42,8' 1"
48,0,59018,Ryan Gerard,22' 2",221.333,10,85,1' 11"
48,0,59095,Chris Gotterup,22' 2",88.500,4,46,5' 6"
50,0,46340,Alex Smalley,21' 10",174.667,8,71,3' 6"
51,0,54607,Danny Walker,21' 9",43.417,2,28,15' 1"
52,0,60067,Joe Highsmith,21' 6",150.500,7,61,2' 1"
52,0,45523,Thriston Lawrence,21' 6",42.917,2,33,9' 7"
54,0,57362,Austin Eckroat,20' 11",104.667,5,35,11' 3"
54,0,54591,Ben Griffin,20' 11",167.250,8,45,3' 5"
54,0,55623,Kaito Onishi,20' 11",41.750,2,34,7' 10"
57,0,52686,Rasmus Højgaard,20' 10",166.750,8,59,3' 2"
57,0,47995,Davis Riley,20' 10",104.167,5,43,10' 10"
59,0,29725,Tony Finau,20' 9",103.583,5,42,4' 4"
59,0,30163,Henrik Norlander,20' 9",145.500,7,53,2' 8"
59,0,46414,Aaron Rai,20' 9",103.667,5,47,1' 7"
62,0,27129,Luke List,20' 7",82.417,4,43,3' 4"
63,0,27064,Jhonattan Vegas,20' 6",61.417,3,44,2' 10"
64,0,60004,Jacob Bridgeman,20' 5",40.750,2,28,12' 7"
65,0,58168,Davis Thompson,20' 1",200.417,10,56,4' 9"
66,0,57364,Michael Thorbjornsen,19' 9",138.167,7,33,3' 0"
67,0,51690,Taylor Dickson,19' 8",58.917,3,39,9' 7"
67,0,28237,Rory McIlroy,19' 8",117.833,6,30,7' 7"
67,0,46601,Trey Mullinax,19' 8",39.250,2,23,16' 0"
70,0,40098,Matt Fitzpatrick,19' 7",97.833,5,34,3' 9"
70,0,57900,Chandler Phillips,19' 7",58.667,3,38,3' 9"
72,0,51950,Max McGreevy,19' 4",116.167,6,32,8' 8"
73,0,52955,Ludvig Åberg,19' 3",115.250,6,36,5' 2"
73,0,50474,Tim Widing,19' 3",38.417,2,34,4' 10"
75,0,34076,Joel Dahmen,19' 1",76.333,4,54,1' 9"
76,0,28089,Jason Day,18' 11",75.667,4,33,11' 7"
77,0,37455,Si Woo Kim,18' 9",56.333,3,37,5' 2"
78,0,35310,Lanto Griffin,18' 8",37.250,2,26,10' 11"
79,0,58605,Quade Cummins,18' 7",74.250,4,35,5' 0"
79,0,47983,Chad Ramey,18' 7",55.667,3,31,3' 1"
81,0,46442,Maverick McNealy,18' 6",92.417,5,52,2' 5"
82,0,54628,Lee Hodges,18' 5",110.500,6,34,4' 2"
82,0,33448,Justin Thomas,18' 5",73.583,4,27,13' 6"
84,0,39997,Corey Conners,18' 3",146.167,8,52,1' 8"
85,0,40250,Taylor Pendrith,17' 8",105.833,6,47,3' 6"
85,0,60019,Jackson Suber,17' 8",141.333,8,45,1' 8"
87,0,51766,Wyndham Clark,17' 7",87.750,5,35,8' 5"
87,0,28252,Seamus Power,17' 7",123.083,7,44,5' 0"
89,0,51696,Rico Hoey,17' 2",137.500,8,49,4' 5"
89,0,39546,Keith Mitchell,17' 2",137.000,8,63,1' 11"
91,0,39977,Max Homa,16' 11",50.750,3,25,1' 9"
92,0,49960,Sepp Straka,16' 10",100.917,6,25,5' 7"
92,0,57586,Jesper Svensson,16' 10",168.583,10,41,3' 11"
94,0,55893,Sam Stevens,16' 9",134.250,8,57,1' 5"
95,0,45157,Cam Davis,16' 8",83.250,5,38,5' 10"
95,0,33399,Adam Hadwin,16' 8",99.833,6,29,1' 8"
97,0,38991,Alejandro Tosti,16' 7",148.917,9,39,1' 5"
98,0,56762,Will Gordon,16' 6",66.000,4,25,6' 8"
98,0,46717,Viktor Hovland,16' 6",65.833,4,29,5' 3"
100,0,40162,Justin Lower,16' 3",113.500,7,36,3' 5"
101,0,35450,Patrick Cantlay,16' 0",95.917,6,31,6' 2"
101,0,35658,Kris Ventura,16' 0",48.000,3,22,5' 3"
103,0,49590,Frankie Capan III,15' 11",47.667,3,36,1' 4"
103,0,34099,Harris English,15' 11",47.750,3,32,6' 0"
105,0,29936,Ryan Fox,15' 8",62.583,4,47,2' 2"
105,0,59160,John Pak,15' 8",62.750,4,43,3' 10"
105,0,54304,Karl Vilips,15' 8",125.500,8,42,5"
108,0,33199,Matteo Manassero,15' 6",15.500,1,16,15' 6"
108,0,51894,Vince Whaley,15' 6",61.833,4,27,4' 9"
110,0,34046,Jordan Spieth,15' 4",76.750,5,32,4' 9"
111,0,29535,Brice Garnett,15' 3",61.083,4,25,9' 9"
112,0,34466,Peter Malnati,15' 1",30.167,2,26,4' 0"
112,0,49947,Taylor Moore,15' 1",135.667,9,61,2' 2"
114,0,58933,Will Chandler,14' 11",44.667,3,24,8' 3"
114,0,27139,David Skinns,14' 11",89.500,6,42,1' 11"
116,0,39859,Cristobal Del Solar,14' 10",74.000,5,35,7' 0"
116,0,34587,Chan Kim,14' 10",89.167,6,34,1' 5"
118,0,47056,Rikuya Hoshino,14' 9",44.250,3,31,4' 11"
119,0,63121,William Mouw,14' 8",29.333,2,19,10' 9"
120,0,46046,Scottie Scheffler,14' 7",131.333,9,32,2' 9"
121,0,59141,Matt McCarty,14' 3",42.833,3,21,5' 10"
122,0,33948,Byeong Hun An,14' 2",28.333,2,17,11' 0"
123,0,45242,Kevin Yu,14' 1",155.083,11,41,3' 6"
124,0,33653,Thomas Detry,13' 8",68.250,5,22,6' 2"
124,0,36799,Stephan Jaeger,13' 8",95.500,7,24,6' 7"
124,0,36326,David Lipsky,13' 8",41.000,3,25,7' 10"
127,0,59440,Ricky Castillo,13' 7",40.667,3,29,4' 6"
127,0,34021,Bud Cauley,13' 7",54.167,4,25,2' 9"
127,0,55165,Noah Goodwin,13' 7",27.083,2,23,4' 5"
127,0,50525,Collin Morikawa,13' 7",81.500,6,30,3"
131,0,35706,Niklas Norgaard,13' 5",53.500,4,23,4' 7"
132,0,47347,Adam Schenk,13' 2",65.917,5,19,7' 5"
133,0,47504,Sam Burns,13' 1",78.417,6,19,3' 10"
133,0,31646,Emiliano Grillo,13' 1",52.167,4,27,4' 0"
133,0,52453,Nicolai Højgaard,13' 1",39.250,3,23,6' 11"
136,0,46646,Antoine Rozner,13' 0",78.083,6,29,2' 6"
137,0,30911,Tommy Fleetwood,12' 10",38.583,3,22,6' 8"
138,0,51349,Nico Echavarria,12' 9",114.833,9,37,1' 9"
139,0,52375,Doug Ghim,12' 3",48.833,4,27,2' 0"
140,0,35506,Mackenzie Hughes,12' 2",36.500,3,18,6' 11"
140,0,32839,Hideki Matsuyama,12' 2",60.917,5,23,5' 7"
142,0,49453,Trevor Cone,12' 0",47.833,4,14,9' 2"
143,0,58619,Kevin Velo,11' 8",46.583,4,16,8' 11"
144,0,34256,Andrew Putnam,11' 5",11.417,1,11,11' 5"
145,0,36699,Patrick Rodgers,11' 3",78.583,7,27,3' 1"
146,0,47993,Denny McCarthy,11' 1",77.667,7,23,2' 6"
146,0,51890,Greyson Sigg,11' 1",44.417,4,16,4' 5"
148,0,52513,Carson Young,10' 11",21.750,2,16,6' 2"
149,0,56630,Akshay Bhatia,10' 10",65.083,6,21,5' 10"
150,0,47679,Victor Perez,10' 6",52.333,5,20,4' 2"
151,0,27770,Camilo Villegas,10' 3",30.833,3,14,6' 7"
152,0,39324,J.J. Spaun,10' 2",10.167,1,10,10' 2"
153,0,47591,Eric Cole,10' 0",40.083,4,16,5' 4"
153,0,35532,Tom Hoge,10' 0",39.917,4,14,6' 2"
155,0,23320,Ryan Palmer,9' 10",19.583,2,13,6' 10"
156,0,40058,Zac Blair,9' 9",19.500,2,15,4' 7"
157,0,48117,Kurt Kitayama,9' 7",57.500,6,12,5' 2"
158,0,48867,Matti Schmid,9' 5",56.667,6,24,2' 8"
159,0,56781,Isaiah Salinda,9' 1",54.417,6,17,2' 2"
160,0,25900,Lucas Glover,9' 0",9.000,1,9,9' 0"
160,0,33204,Shane Lowry,9' 0",45.000,5,18,3' 7"
160,0,36824,Paul Peterson,9' 0",18.000,2,13,4' 9"
163,0,22405,Justin Rose,8' 10",8.833,1,9,8' 10"
164,0,51977,Max Greyserman,8' 5",50.333,6,12,4' 5"
165,0,59866,Nick Dunlap,8' 3",16.500,2,12,4' 6"
165,0,25493,Nick Taylor,8' 3",24.667,3,15,3' 6"
167,0,33597,Harry Higgs,7' 5",22.250,3,13,3' 2"
168,0,55789,Taylor Montgomery,6' 11",13.833,2,8,6' 3"
169,0,27649,Brandt Snedeker,6' 8",13.250,2,10,3' 2"
170,0,40006,Erik van Rooyen,6' 6",32.417,5,12,1"
171,0,50484,Hayden Springer,6' 2",30.750,5,10,3' 7"
172,0,59836,Pierceson Coody,5' 6",11.000,2,6,4' 9"
173,0,28775,Nate Lashley,5' 3",5.250,1,5,5' 3"
174,0,54421,Garrick Higgo,5' 2",5.167,1,5,5' 2"
175,0,47988,Nick Hardy,3' 4",3.333,1,3,3' 4"
